,Postleitzahl,Ort,Name,Straße,Anzahl Empfehlungen,Latitude,Longitude,Komplette Addresse
28,04229,Leipzig,Tonis Eisladen,Könneritzstr. 21,65,51.3274649,12.3458776,"Tonis Eisladen, Könneritzstr. 21, 04229 Leipzig"
29,04229,Leipzig,Eis an der Kö,Stieglitzstr. 84,4,51.3234299999999,12.34379,"Eis an der Kö, Stieglitzstr. 84, 04229 Leipzig"
30,04229,Leipzig,Pauls Schleckeria,Zschochersche Str. 99,49,51.3208845,12.33089,"Pauls Schleckeria, Zschochersche Str. 99, 04229 Leipzig"
31,04229,Leipzig,Softeisbude,Karl-Heine-Str. 68,11,51.3311,12.33164,"Softeisbude, Karl-Heine-Str. 68, 04229 Leipzig"
32,04275,Leipzig,Pfeifer,Kochstr. 20,26,51.3222993,12.3716817,"Pfeifer, Kochstr. 20, 04275 Leipzig"
33,04277,Leipzig,Eisdiele Braker Go,Bornaische Str.  42,17,51.3075863,12.3787877,"Eisdiele Braker Go, Bornaische Str.  42, 04277 Leipzig"
34,04277,Leipzig,Scholles Eismanufaktur Vanille & Zimt,Bornaische Str. 102,3,51.3025455999999,12.3834425,"Scholles Eismanufaktur Vanille & Zimt, Bornaische Str. 102, 04277 Leipzig"
35,04315,Leipzig,Eis Oase,Rabet 44,17,51.342609,12.4041481,"Eis Oase, Rabet 44, 04315 Leipzig"
36,04317,Leipzig,Gustav H,Baedekerstr. 8,6,51.33541,12.39957,"Gustav H, Baedekerstr. 8, 04317 Leipzig"
37,04317,Leipzig,Eisträumerei,Riebeckstr. 23,139,51.32891,12.40446,"Eisträumerei, Riebeckstr. 23, 04317 Leipzig"
38,04318,Leipzig,Eiscafé am Stünzer Park,Theodor-Neubauer-Str. 63,4,51.33641,12.42303,"Eiscafé am Stünzer Park, Theodor-Neubauer-Str. 63, 04318 Leipzig"
39,04509,Löbnitz,Eisdiele Matteo,Dübener Str. 22,4,51.5922330999999,12.4659246,"Eisdiele Matteo, Dübener Str. 22, 04509 Löbnitz"
40,04808,Lossatal,Café Eisprinzessin,Philipp-Müller-Platz 3,26,51.36974,12.86762,"Café Eisprinzessin, Philipp-Müller-Platz 3, 04808 Lossatal"
41,04808,Wurzen,Eiscafé Schönemann,Markt 2,5,51.3694581,12.7355046,"Eiscafé Schönemann, Markt 2, 04808 Wurzen"
42,04821,Brandis,Eiscafé Lilly Vanilly,Naunhofer Str. 30,4,51.32588,12.5982,"Eiscafé Lilly Vanilly, Naunhofer Str. 30, 04821 Brandis"
43,04849,Bad Düben,Eiscafe Sicilia,Markt 5,10,51.5907892,12.5851627,"Eiscafe Sicilia, Markt 5, 04849 Bad Düben"
44,04924,Bad Liebenwerda,Konditorei und Cafe Beeg,Roßmarkt 1,5,51.5152333,13.3956765,"Konditorei und Cafe Beeg, Roßmarkt 1, 04924 Bad Liebenwerda"
